Date,Open,High,Low,Close,Adj Close,Volume
2020-07-29,14.630000,15.110000,14.620000,15.070000,15.070000,13723700
2020-07-30,14.780000,14.840000,14.600000,14.670000,14.670000,14688100
2020-07-31,14.400000,14.590000,14.100000,14.330000,14.330000,18014500
2020-08-03,14.330000,14.680000,14.250000,14.530000,14.530000,11183500
2020-08-04,14.500000,15.250000,14.460000,15.110000,15.110000,15746200
2020-08-05,15.530000,15.750000,15.260000,15.320000,15.320000,13478000
2020-08-06,15.340000,15.440000,14.800000,14.820000,14.820000,11389600
2020-08-07,14.650000,14.890000,14.420000,14.890000,14.890000,12914400
2020-08-10,14.980000,15.660000,14.930000,15.610000,15.610000,10490600
2020-08-11,16.000000,16.700001,15.980000,16.139999,16.139999,25789800
2020-08-12,16.459999,16.820000,16.379999,16.709999,16.709999,20499000
2020-08-13,16.639999,16.790001,16.350000,16.650000,16.650000,13456900
2020-08-14,16.309999,16.660000,16.150000,16.629999,16.629999,12244200
2020-08-17,16.520000,16.850000,16.500000,16.650000,16.650000,12312500
2020-08-18,16.610001,16.889999,16.340000,16.450001,16.450001,10542900
2020-08-19,16.450001,16.870001,16.379999,16.490000,16.490000,11929100
2020-08-20,16.270000,16.290001,15.950000,16.010000,16.010000,13361200
2020-08-21,15.880000,15.990000,15.610000,15.740000,15.740000,9806400
2020-08-24,15.880000,16.639999,15.770000,16.290001,16.290001,14722400
2020-08-25,16.620001,16.690001,16.059999,16.150000,16.150000,10199900
2020-08-26,16.110001,16.254999,15.775000,15.810000,15.810000,8773465
